number,step
0,1.5,-3.407686936667312
1,4.6,-3.407686936667312
2,4.800000000000001,-3.407686936667312
3,2.8,-3.407686936667312
4,2.5,-3.407686936667312
5,2.0,-3.407686936667312
6,3.6,-3.407686936667312
7,3.0,-3.407686936667312
8,4.9,-3.407686936667312
9,4.2,-3.407686936667312
10,1.0,-3.407686936667312
11,1.0,-3.407686936667312
12,1.8,-3.407686936667312
13,3.8000000000000003,-3.407686936667312
14,1.7000000000000002,-3.407686936667312
15,4.2,-3.407686936667312
16,3.5,-3.407686936667312
17,2.3,-3.407686936667312
18,1.4,-3.407686936667312
19,4.5,-3.407686936667312
20,3.2,-3.407686936667312
